Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MNQ 12-23,Buy,1,15830.00,11/16/2023 11:47:50 AM,b27a2eca4c7c41e8b2bd6c80fc9e5156,Entry,1 L,a64c989a679e4e9784d9e1ddf5e3e9ae,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15849.25,11/16/2023 11:51:00 AM,ab1c55bc6a2a44beac3def8be5eeb973,Exit,-,aff03aaada5e4e9aa744f1b83a20088e,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15843.25,11/16/2023 11:51:55 AM,4d811a3b14a94bc0bdbdaf469fb439e6,Entry,1 S,4c57782b83d443e8919b8d2c90a65d7a,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15853.25,11/16/2023 12:06:14 PM,ccc2d0baea534d82bfcc6fa8b86574c2,Exit,-,6f5e28f729f447faa4d122c34324af1f,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15858.25,11/16/2023 12:09:20 PM,2c1573a29a114e26ad42a8d135072c35,Entry,1 L,b0829a9425714bef9cb69b855ac61847,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15868.25,11/16/2023 12:13:19 PM,5538e9744f2c4ae38fc1cb8f872d1d6b,Exit,-,1d87633109aa4a619bb605b255fd8f6a,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15888.25,11/16/2023 12:47:00 PM,34f3899b680a473c954fa1df70fb8ff2,Entry,1 S,91cc6c4c709b4f4282b88a55dba3ac01,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15878.50,11/16/2023 12:52:53 PM,e2f5df44ea624b70b0d86049145f2722,Entry,2 S,c80fb7a03b784f4eafc164d9bf9bcfe6,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15867.00,11/16/2023 1:09:01 PM,87576bdd163a4e2482148d65fae51615,Exit,1 S,a01dea9978e440179a39b55be960aadf,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15857.50,11/16/2023 1:12:13 PM,b2c03c2f5aa6443c89f3317d68bb81a2,Exit,-,a9468323b6f24aaba1c84038fc292d8b,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15867.00,11/16/2023 1:16:04 PM,f56147f27f784a418e31e84860589477,Entry,1 L,ec92f6ecc47846849259580fc1b3d79b,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15857.00,11/16/2023 1:19:36 PM,abf49b4ec7714c88bc3830ca5770165e,Exit,-,93b79028ac6e4681b1e5bd57b27b9685,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15853.00,11/16/2023 1:20:23 PM,6548574414144f91bb64123240488d5d,Entry,1 S,87f0d75b635b44709301f5bbb418caeb,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15863.00,11/16/2023 1:25:29 PM,0619d38080324299af28c8b981b3738f,Exit,-,7fb48bfbec614c24b992564d8d139f09,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15872.75,11/16/2023 1:25:55 PM,40c2ad4ba681430bb37014fd4e6feafd,Entry,1 L,9d710bc847d148fd923a5ee9fe5171c0,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15862.50,11/16/2023 1:28:38 PM,7de9c367eeb64232b2cee96d16bbdfab,Exit,-,79391e7e18a54488b831075ac4f5bb47,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15855.25,11/16/2023 1:34:51 PM,e30661aa589f4c84b2669c6425550a3b,Entry,1 L,c82b2900c2094845a3817d0b07e8f3f3,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15865.00,11/16/2023 1:36:27 PM,b54ebf98ed314ff2aa1dfafb4aa5ce9a,Entry,2 L,00b973a714184f30a68b55bc82abfbe0,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15874.00,11/16/2023 1:37:32 PM,82d55ad9835240f69fdf53f3ff2db96b,Exit,1 L,d9636f643dfa4931990083b4d5541d79,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15874.00,11/16/2023 1:37:32 PM,43f03b3c9f3340ae80574065ca1a73b2,Exit,-,6110318b36b744b29d0ffc8be7ffce66,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15872.75,11/16/2023 1:37:58 PM,6683160cfc6e45e5be5ab222d5993a63,Entry,1 S,b3bfa0aa67ad4c849a02d11be3b3713e,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15872.75,11/16/2023 1:37:58 PM,36c905939a5d4f8fb9bfaf18d6fddd77,Entry,2 S,514dc51d6ab247afbfecca14fcebd9a8,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15861.75,11/16/2023 1:39:59 PM,ca2277ed8e4c4cd7a11f4fe29c78d693,Exit,1 S,31a69ebd2fbc422d8536127448622ffb,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15861.75,11/16/2023 1:39:59 PM,799c487aaf4341adbaf4cb12282ede1b,Exit,-,31a69ebd2fbc422d8536127448622ffb,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15857.75,11/16/2023 1:40:13 PM,7f048f0b5da54867a6ec9b8a5eff6bc0,Entry,1 L,b014e1bf5f1f4d46be46b8629abc92fc,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15844.25,11/16/2023 1:47:34 PM,e3d44aee3ae84477b8e6a220032075fa,Exit,-,e283487dcaf6477bb5961219db872424,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
