Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES 06-23,Sim101,5pt ATM,Short,1,4169.25,4158.25,5/23/2023 2:16:59 PM,5/23/2023 2:26:28 PM,Entry,Stop1,$55.00,$55.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.50,$81.25,$26.25,0,
2,MES 09-23,Sim101,5pt ATM,Long,1,4493.75,4494.25,8/14/2023 11:18:46 AM,8/14/2023 12:12:50 PM,Entry,Stop1,$2.50,$57.50,$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$47.50,$45.00,0,
3,MES 09-23,Sim101,5pt ATM,Short,1,4497.25,4496.75,8/14/2023 12:59:25 PM,8/14/2023 3:20:52 PM,Entry,Stop1,$2.50,$60.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$45.00,$42.50,0,
4,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,14451.75,14477.00,10/31/2023 2:32:18 PM,10/31/2023 2:48:08 PM,Entry,Stop1,($50.50),$9.50,$0.00,$0.00,$0.00,$0.00,$0.00,$51.50,$10.50,$61.00,0,
5,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,14457.75,14477.00,10/31/2023 2:33:15 PM,10/31/2023 2:48:08 PM,Entry,Stop1,($38.50),($29.00),$0.00,$0.00,$0.00,$0.00,$0.00,$39.50,$22.50,$61.00,0,
6,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,14464.25,14477.00,10/31/2023 2:42:49 PM,10/31/2023 2:48:08 PM,Entry,Stop1,($25.50),($54.50),$0.00,$0.00,$0.00,$0.00,$0.00,$26.50,$7.00,$32.50,0,
7,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,14623.00,14633.00,11/1/2023 2:30:13 PM,11/1/2023 2:31:26 PM,Entry,Target1,$20.00,($34.50),$0.00,$0.00,$0.00,$0.00,$0.00,$9.00,$20.50,$0.50,0,
8,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,14643.00,14653.00,11/1/2023 2:36:15 PM,11/1/2023 2:36:35 PM,Entry,Target1,$20.00,($14.50),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$20.50,$0.50,0,
9,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,14584.50,14594.50,11/1/2023 2:44:51 PM,11/1/2023 2:45:44 PM,Entry,Target1,$20.00,$5.50,$0.00,$0.00,$0.00,$0.00,$0.00,$27.50,$21.00,$1.00,0,
10,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15565.25,15582.50,11/13/2023 2:09:54 PM,11/13/2023 2:25:27 PM,Entry,Stop1,($34.50),($29.00),$0.00,$0.00,$0.00,$0.00,$0.00,$35.00,$13.00,$47.50,0,
11,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15576.00,15582.50,11/13/2023 2:23:21 PM,11/13/2023 2:25:27 PM,Entry,Stop1,($13.00),($42.00),$0.00,$0.00,$0.00,$0.00,$0.00,$13.50,$4.00,$17.00,0,
12,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15579.00,15568.75,11/13/2023 2:31:03 PM,11/13/2023 2:53:31 PM,Entry,Target1,$20.50,($21.50),$0.00,$0.00,$0.00,$0.00,$0.00,$19.50,$21.00,$0.50,0,
13,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15574.50,15564.50,11/13/2023 2:55:45 PM,11/13/2023 3:01:19 PM,Entry,Stop1,($20.00),($41.50),$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,$2.00,$22.00,0,
14,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15561.50,15571.50,11/13/2023 3:02:59 PM,11/13/2023 3:09:46 PM,Entry,Target1,$20.00,($21.50),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$20.50,$0.50,0,
15,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15565.00,15550.50,11/13/2023 3:37:25 PM,11/13/2023 3:52:58 PM,Entry,Stop1,($29.00),($50.50),$0.00,$0.00,$0.00,$0.00,$0.00,$29.50,$15.00,$44.00,0,
16,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15555.00,15550.50,11/13/2023 3:52:50 PM,11/13/2023 3:52:58 PM,Entry,Stop1,($9.00),($59.50),$0.00,$0.00,$0.00,$0.00,$0.00,$9.50,$0.50,$9.50,0,
17,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15791.75,15801.75,11/14/2023 8:46:17 AM,11/14/2023 8:49:47 AM,Entry,Target1,$20.00,($39.50),$0.00,$0.00,$0.00,$0.00,$0.00,$6.50,$20.00,$0.00,0,
18,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15876.50,15886.50,11/14/2023 10:04:04 AM,11/14/2023 10:05:52 AM,Entry,Target1,$20.00,($19.50),$0.00,$0.00,$0.00,$0.00,$0.00,$2.50,$20.50,$0.50,0,
19,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15868.75,15848.00,11/14/2023 10:07:25 AM,11/14/2023 10:20:35 AM,Entry,Stop1,($41.50),($61.00),$0.00,$0.00,$0.00,$0.00,$0.00,$43.00,$3.50,$45.00,0,
20,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15855.00,15848.00,11/14/2023 10:07:58 AM,11/14/2023 10:20:35 AM,Entry,Stop1,($14.00),($75.00),$0.00,$0.00,$0.00,$0.00,$0.00,$15.50,$31.00,$45.00,0,
21,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15866.50,15876.50,11/14/2023 11:35:51 AM,11/14/2023 11:44:37 AM,Entry,Stop1,($20.00),($95.00),$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,$9.50,$29.50,0,
22,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15870.00,15860.00,11/14/2023 11:49:09 AM,11/14/2023 11:49:21 AM,Entry,Stop1,($20.00),($115.00),$0.00,$0.00,$0.00,$0.00,$0.00,$21.00,$0.50,$20.50,0,
23,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15865.00,15855.00,11/14/2023 11:49:38 AM,11/14/2023 11:51:01 AM,Entry,Stop1,($20.00),($135.00),$0.00,$0.00,$0.00,$0.00,$0.00,$23.00,$3.00,$23.00,0,
24,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15849.75,15835.75,11/14/2023 12:01:29 PM,11/14/2023 12:07:49 PM,Entry,Target1,$28.00,($107.00),$0.00,$0.00,$0.00,$0.00,$0.00,$17.00,$31.00,$3.00,0,
25,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15846.50,15836.50,11/14/2023 12:18:55 PM,11/14/2023 12:24:05 PM,Entry,Target1,$20.00,($87.00),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$21.00,$1.00,0,
26,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15846.50,15862.50,11/14/2023 12:25:43 PM,11/14/2023 12:45:45 PM,Entry,Stop1,($32.00),($119.00),$0.00,$0.00,$0.00,$0.00,$0.00,$33.00,$20.00,$52.00,0,
27,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15856.50,15862.50,11/14/2023 12:38:34 PM,11/14/2023 12:45:45 PM,Entry,Stop1,($12.00),($131.00),$0.00,$0.00,$0.00,$0.00,$0.00,$13.00,$10.00,$22.00,0,
28,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15877.75,15867.75,11/14/2023 12:58:49 PM,11/14/2023 1:15:28 PM,Entry,Stop1,($20.00),($151.00),$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,$11.00,$31.00,0,
29,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15907.75,15897.75,11/15/2023 12:53:59 PM,11/15/2023 12:58:03 PM,Entry,Target1,$20.00,($131.00),$0.00,$0.00,$0.00,$0.00,$0.00,$3.50,$20.00,$0.00,0,
30,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15855.50,15863.25,11/15/2023 1:12:10 PM,11/15/2023 1:22:05 PM,Entry,Stop1,($16.72),($147.72),$1.22,$0.00,$0.00,$0.00,$0.00,$15.50,$46.00,$62.72,0,
31,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15845.00,15863.25,11/15/2023 1:13:41 PM,11/15/2023 1:22:05 PM,Entry,Stop1,($37.72),($185.44),$1.22,$0.00,$0.00,$0.00,$0.00,$36.50,$25.00,$62.72,0,
32,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15840.25,15863.25,11/15/2023 1:15:00 PM,11/15/2023 1:22:05 PM,Entry,Stop1,($47.22),($232.66),$1.22,$0.00,$0.00,$0.00,$0.00,$46.00,$15.50,$62.72,0,
33,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15877.00,15887.00,11/15/2023 1:27:57 PM,11/15/2023 1:32:33 PM,Entry,Stop1,($21.22),($253.88),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$8.00,$29.22,0,
34,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15824.50,15834.50,11/16/2023 10:41:54 AM,11/16/2023 10:42:42 AM,Entry,Stop1,($21.22),($275.10),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$19.50,$40.72,0,
35,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15849.50,15859.50,11/16/2023 10:47:02 AM,11/16/2023 10:47:42 AM,Entry,Stop1,($21.22),($296.32),$1.22,$0.00,$0.00,$0.00,$0.00,$20.50,$4.50,$25.72,0,
36,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15851.00,15841.00,11/16/2023 10:49:21 AM,11/16/2023 10:51:26 AM,Entry,Stop1,($21.22),($317.54),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$0.00,$21.22,0,
37,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15843.75,15833.75,11/16/2023 11:07:22 AM,11/16/2023 11:09:22 AM,Entry,Stop1,($21.22),($338.76),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$9.50,$30.72,0,
38,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15837.75,15826.25,11/16/2023 11:10:11 AM,11/16/2023 11:12:53 AM,Entry,Stop1,($24.22),($362.98),$1.22,$0.00,$0.00,$0.00,$0.00,$24.00,$11.50,$35.72,0,
39,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15834.50,15826.25,11/16/2023 11:12:22 AM,11/16/2023 11:12:53 AM,Entry,Stop1,($17.72),($380.70),$1.22,$0.00,$0.00,$0.00,$0.00,$17.50,$1.00,$18.72,0,
40,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15822.50,15812.25,11/16/2023 11:22:45 AM,11/16/2023 11:29:35 AM,Entry,Target1,$19.28,($361.42),$1.22,$0.00,$0.00,$0.00,$0.00,$6.00,$22.00,$2.72,0,
41,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15800.50,15815.50,11/16/2023 11:38:47 AM,11/16/2023 11:41:01 AM,Entry,Stop1,($31.22),($392.64),$1.22,$0.00,$0.00,$0.00,$0.00,$31.00,$0.50,$31.72,0,
42,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15830.00,15849.25,11/16/2023 11:47:50 AM,11/16/2023 11:51:00 AM,Entry,Target1,$37.28,($355.36),$1.22,$0.00,$0.00,$0.00,$0.00,$2.50,$39.00,$1.72,0,
43,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15843.25,15853.25,11/16/2023 11:51:55 AM,11/16/2023 12:06:14 PM,Entry,Stop1,($21.22),($376.58),$1.22,$0.00,$0.00,$0.00,$0.00,$22.00,$17.50,$38.72,0,
44,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15858.25,15868.25,11/16/2023 12:09:20 PM,11/16/2023 12:13:19 PM,Entry,Target1,$18.78,($357.80),$1.22,$0.00,$0.00,$0.00,$0.00,$5.00,$20.50,$1.72,0,
45,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15888.25,15867.00,11/16/2023 12:47:00 PM,11/16/2023 1:09:01 PM,Entry,Target1,$41.28,($316.52),$1.22,$0.00,$0.00,$0.00,$0.00,$13.00,$61.50,$20.22,0,
46,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15878.50,15857.50,11/16/2023 12:52:53 PM,11/16/2023 1:12:13 PM,Entry,Target1,$40.78,($275.74),$1.22,$0.00,$0.00,$0.00,$0.00,$18.50,$42.00,$1.22,0,
47,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15867.00,15857.00,11/16/2023 1:16:04 PM,11/16/2023 1:19:36 PM,Entry,Stop1,($21.22),($296.96),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$9.00,$30.22,0,
48,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15853.00,15863.00,11/16/2023 1:20:23 PM,11/16/2023 1:25:29 PM,Entry,Stop1,($21.22),($318.18),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$16.00,$37.22,0,
49,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15872.75,15862.50,11/16/2023 1:25:55 PM,11/16/2023 1:28:38 PM,Entry,Stop1,($21.72),($339.90),$1.22,$0.00,$0.00,$0.00,$0.00,$20.50,$5.50,$27.22,0,
50,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15855.25,15874.00,11/16/2023 1:34:51 PM,11/16/2023 1:37:32 PM,Entry,Target1,$36.28,($303.62),$1.22,$0.00,$0.00,$0.00,$0.00,$5.50,$37.50,$1.22,0,
51,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15865.00,15874.00,11/16/2023 1:36:27 PM,11/16/2023 1:37:32 PM,Entry,Target1,$16.78,($286.84),$1.22,$0.00,$0.00,$0.00,$0.00,$0.50,$18.00,$1.22,0,
52,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15872.75,15861.75,11/16/2023 1:37:58 PM,11/16/2023 1:39:59 PM,Entry,Target1,$20.78,($266.06),$1.22,$0.00,$0.00,$0.00,$0.00,$5.00,$22.00,$1.22,0,
53,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15872.75,15861.75,11/16/2023 1:37:58 PM,11/16/2023 1:39:59 PM,Entry,Target1,$20.78,($245.28),$1.22,$0.00,$0.00,$0.00,$0.00,$5.00,$22.00,$1.22,0,
54,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15857.75,15844.25,11/16/2023 1:40:13 PM,11/16/2023 1:47:34 PM,Entry,Stop1,($28.22),($273.50),$1.22,$0.00,$0.00,$0.00,$0.00,$27.50,$18.00,$46.22,0,
55,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15847.75,15843.00,11/16/2023 1:50:30 PM,11/16/2023 1:57:41 PM,Entry,Stop1,($10.72),($284.22),$1.22,$0.00,$0.00,$0.00,$0.00,$10.00,$20.50,$31.22,0,
56,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15858.00,15843.00,11/16/2023 1:53:07 PM,11/16/2023 1:57:41 PM,Entry,Stop1,($31.22),($315.44),$1.22,$0.00,$0.00,$0.00,$0.00,$30.50,$0.00,$31.22,0,
57,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15842.75,15862.50,11/16/2023 2:00:30 PM,11/16/2023 2:12:43 PM,Entry,Target1,$38.28,($277.16),$1.22,$0.00,$0.00,$0.00,$0.00,$3.50,$39.50,$1.22,0,
58,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15852.00,15862.50,11/16/2023 2:04:15 PM,11/16/2023 2:12:43 PM,Entry,Target1,$19.78,($257.38),$1.22,$0.00,$0.00,$0.00,$0.00,$16.00,$21.00,$1.22,0,
59,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15855.50,15865.50,11/16/2023 2:26:11 PM,11/16/2023 2:33:42 PM,Entry,Stop1,($21.22),($278.60),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$12.50,$33.72,0,
60,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15865.75,15881.00,11/16/2023 2:37:08 PM,11/16/2023 2:44:18 PM,Entry,Stop1,($31.72),($310.32),$1.22,$0.00,$0.00,$0.00,$0.00,$31.50,$1.50,$33.22,0,
61,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15873.50,15881.00,11/16/2023 2:40:54 PM,11/16/2023 2:44:18 PM,Entry,Stop1,($16.22),($326.54),$1.22,$0.00,$0.00,$0.00,$0.00,$16.00,$7.00,$23.22,0,
62,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,15891.25,15881.25,11/16/2023 2:47:19 PM,11/16/2023 2:51:37 PM,Entry,Stop1,($21.22),($347.76),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$4.00,$25.22,0,
